(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,, Large-NumY-Exp,,,,,,,,,,,, Large-NumY-Simp,,,,,,,,,,,, Robertson-Stiff,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
CyRK Version, Run-on Date, cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std)
0.18.0, 17/08/2026 11:47:18, 1.7907, 0.1860, 0.1479, 0.0009, , , 15.7858, 0.4829, 1.4379, 0.0403, , , 0.7637, 0.0165, 0.0950, 0.0056, , , 7.7909, 0.2724, 0.9108, 0.0365, , , 1.9804, 0.0848, 0.2539, 0.0242, , , 29.7764, 2.6953, 3.7168, 0.2841, , , 4.3109, 0.6223, 0.2949, 0.0425, , , 41.1137, 2.8189, 3.6152, 0.0666, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.1158, 0.0063, 0.0147, 0.0006, , , 0.1861, 0.0043, 0.0220, 0.0006, , 
0.19.0, 08/09/2026 22:21:42, 1.9542, 0.0812, 0.1754, 0.0078, , , 19.1447, 0.4496, 1.7144, 0.0665, , , 0.9651, 0.0199, 0.1098, 0.0021, , , 9.1908, 0.4648, 1.0703, 0.0434, , , 2.2699, 0.0880, 0.2537, 0.0132, , , 35.4336, 1.3123, 4.2429, 0.0720, , , 2.6254, 0.0691, 0.2621, 0.0084, , , 41.7063, 1.0901, 4.3319, 0.0771, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.1338, 0.0037, 0.0160, 0.0007, , , 0.2156, 0.0053, 0.0266, 0.0005, , 
