(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,, Large-NumY-Exp,,,,,,,,,,,, Large-NumY-Simp,,,,,,,,,,,, Robertson-Stiff,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
CyRK Version, Run-on Date, cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std)
0.18.0, 17/08/2026 11:45:54, 0.7472, 0.0220, 0.1316, 0.0012, , , 7.1628, 0.1664, 1.3228, 0.0316, , , 0.2418, 0.0035, 0.0537, 0.0006, , , 2.3662, 0.0534, 0.5173, 0.0065, , , 0.7524, 0.0182, 0.1745, 0.0113, , , 12.2509, 0.1744, 2.6700, 0.0488, , , 1.1599, 0.0059, 0.2014, 0.0152, , , 23.6459, 2.2327, 3.2775, 0.3465, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.0763, 0.0020, 0.0159, 0.0008, , , 0.1269, 0.0045, 0.0261, 0.0004, , 
0.19.0, 08/09/2026 22:20:17, 0.9357, 0.0227, 0.1532, 0.0022, , , 8.9834, 0.1313, 1.4971, 0.0098, , , 0.3140, 0.0079, 0.0639, 0.0014, , , 2.8970, 0.0529, 0.6268, 0.0401, , , 0.9545, 0.0253, 0.1926, 0.0061, , , 15.0960, 0.2699, 3.0463, 0.0468, , , 1.5164, 0.0196, 0.2091, 0.0040, , , 22.5474, 0.3473, 3.2614, 0.0446, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.0891, 0.0016, 0.0165, 0.0004, , , 0.1444, 0.0028, 0.0275, 0.0006, , 
