(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,, Large-NumY-Exp,,,,,,,,,,,, Large-NumY-Simp,,,,,,,,,,,, Robertson-Stiff,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
CyRK Version, Run-on Date, cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std), CySolver (avg), CySolver (std), numba  (avg), numba  (std)
0.18.0, 17/08/2026 11:46:35, 0.3659, 0.0112, 0.0633, 0.0062, , , 4.2499, 0.5548, 0.6645, 0.0712, , , 0.2618, 0.0175, 0.0495, 0.0053, , , 1.9720, 0.0969, 0.4561, 0.0362, , , 0.8111, 0.0137, 0.1426, 0.0135, , , 10.2904, 1.4168, 1.9619, 0.1549, , , 1.0187, 0.1184, 0.1630, 0.0077, , , 16.3227, 0.1451, 2.2984, 0.0328, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.0628, 0.0077, 0.0125, 0.0019, , , 0.2106, 0.0180, 0.0330, 0.0062, , 
0.19.0, 08/09/2026 22:21:03, 0.4328, 0.0085, 0.0702, 0.0012, , , 4.2598, 0.1226, 0.6597, 0.0092, , , 0.2470, 0.0054, 0.0497, 0.0019, , , 2.3833, 0.1129, 0.4982, 0.0210, , , 0.7125, 0.0450, 0.1518, 0.0030, , , 10.3529, 0.1712, 2.1723, 0.0515, , , 1.0601, 0.0643, 0.1526, 0.0016, , , 16.2930, 0.3686, 2.2556, 0.0672, , ,,,,,,,,,,,,,,,,,,,,,,,,, 0.0686, 0.0016, 0.0125, 0.0007, , , 0.1371, 0.0068, 0.0304, 0.0005, , 
